id,church_id,title,date,status,notes,created_at,media_urls
11aebd43-32fb-43f1-92f2-42c439f4e39a,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,09/08 - CULTO DE DOMINGO,2026-08-11 23:55:16.262+00,arquivado,,2026-08-11 21:01:25.565232+00,[]
1f1203f9-6159-4abc-96e9-71dbdeba5fcb,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,12/08 - CULTO DE QUARTA - OCULTO,2026-08-11 23:56:16.262+00,arquivado,"{""escala"":{""violao"":"""",""bateria"":"""",""teclado"":""""},""cantores"":[""Franciele"",""Igor Ribeiro""]}",2026-08-11 21:01:26.26445+00,[]
1f954910-b901-4c78-a05e-2d6386301640,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,30/08 - CULTO DE DOMINGO,2026-08-12 00:04:16.262+00,confirmado,"{""escala"":{""Violão"":""Wallace"",""Teclado"":""Bispo Bruno"",""Bateria"":""João Marcos"",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[""Igor Ribeiro"",""Bispo Bruno""]}",2026-08-11 21:01:29.476574+00,[]
4cdbcbc7-9dc3-43c9-9d29-542e3153d766,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,15/08 Cultos de Jovens - CULTO DE SABADO - OCULTO,2026-08-11 23:57:16.262+00,arquivado,"{""escala"":{""Violão"":"""",""Teclado"":"""",""Bateria"":"""",""Diretor musical"":""""},""cantores"":[""Igor Ribeiro""]}",2026-08-11 21:01:26.57352+00,"[{""url"":""https://pfhkzgccoirosztjcyrh.supabase.co/storage/v1/object/public/media-inbox/1786659399076_2rhklp.jpeg"",""name"":""1786659399076_2rhklp.jpeg""}]"
628747e0-b235-407d-8c70-f569f05a1b80,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,23/08 ANIVERSÁRIO DA IGREJA - CULTO DE DOMINGO,2026-08-12 00:02:16.262+00,confirmado,"{""escala"":{""Violão"":""Wallace"",""Teclado"":""Bispo Bruno"",""Bateria"":""Afonso"",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[""Pastora Pauliana"",""Bispo Bruno"",""Igor Ribeiro""]}",2026-08-11 21:01:28.584981+00,[]
6cfa8b54-8cf8-4c16-95c3-1847c0d3d062,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,26/08 - CULTO DE QUARTA,2026-08-12 00:03:16.262+00,confirmado,"{""escala"":{""Violão"":""Wallace"",""Teclado"":""Bispo Bruno"",""Bateria"":""Afonso"",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[""Igor Ribeiro"",""Franciele""]}",2026-08-11 21:01:29.161213+00,[]
a6993319-df2b-4fe5-b4e6-7df901a10500,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,19/08 - CULTO DE QUARTA,2026-08-11 23:59:16.262+00,confirmado,"{""escala"":{""Violão"":""Wallace"",""Teclado"":""Bispo Bruno"",""Bateria"":""João Marcos"",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[""Bispo Bruno"",""Igor Ribeiro""]}",2026-08-11 21:01:27.579147+00,[]
bf34a2a5-0fae-4c6b-a44a-3391f7ca16f6,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,16/08 CULTO DE SANTA CEIA - CULTO DE DOMINGO - OCULTO,2026-08-11 23:58:16.262+00,arquivado,"{""escala"":{""Violão"":"""",""Teclado"":"""",""Bateria"":"""",""Diretor musical"":""""},""cantores"":[""Bispo Bruno"",""Franciele"",""Igor Ribeiro""]}",2026-08-11 21:01:26.965064+00,[]
c6aeeae4-8473-4eb7-a891-12f51a1232ce,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,05/08 - CULTO DE QUARTA,2026-08-11 23:53:16.262+00,arquivado,,2026-08-11 21:01:24.853256+00,[]
d1af4a2f-8989-4030-a7cd-59a9dbb828d9,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,22/08 ANIVERSÁRIO DA IGREJA - CULTO DE SABADO,2026-08-12 00:01:16.262+00,confirmado,"{""escala"":{""Violão"":""Wallace"",""Teclado"":""Bispo Bruno"",""Bateria"":""João Marcos"",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[""Franciele"",""Igor Ribeiro""]}",2026-08-11 21:01:28.314989+00,[]
e91d9d9c-42a9-4008-b63c-f18ec08d74e8,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,08/08 - CULTO DE SABADO,2026-08-11 23:54:16.262+00,arquivado,,2026-08-11 21:01:25.187892+00,[]
f5948792-75c4-4b9b-9910-a1efb90eb07e,ae125cfd-96ef-4324-b1f0-f96a4f34eecf,02/08 - CULTO DE DOMINGO - EM MONTAGEM - OCULTO,2026-08-11 23:52:16.262+00,arquivado,"{""escala"":{""Violão"":"""",""Teclado"":"""",""Bateria"":"""",""Diretor musical"":"""",""Operador da Iluminação"":"""",""Operador da Projeção"":"""",""Câmera móvel"":"""",""Operador da Transmissão"":""""},""cantores"":[]}",2026-08-11 21:01:24.327089+00,[]
